,index,videoId,title,channelId,channel,description,publication_date,duration,view_count,like_count,comment_count,tags
0,"Sur TikTok, l’argent liquide pour faire des économies face à l’inflation - Courrier international",dV9SJ-gaxMc,"Sur TikTok, l’argent liquide pour faire des économies face à l’inflation",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#TikTok #cashstuffing #inflation #économies #budget 

Se débarrasser de sa carte bancaire et gérer son argent en liquide : c’est ce que promeut la tendance du “cashstuffing”. Sur TikTok, ses adeptes partagent leurs conseils et affirment faire de grosses économies. Dans un contexte de forte inflation dans de nombreux pays, liée notamment à la guerre en Ukraine et à la crise énergétique qui en découle, les astuces pour faire des économies ont la côte sur ce réseau social prisé des plus jeunes.",2023-01-14T10:30:18Z,PT2M9S,1019,29,10,"['cashstuffing', 'argent', 'tiktok', 'économies', 'budget', 'inflation', 'crise économique', 'tendance', 'société', 'vie quotidienne', 'réseaux sociaux', 'courrier international']"
1,“Les pires inondations jamais vues dans l’ouest de l’Australie” - Courrier international,KYssRqwMrkk,“Les pires inondations jamais vues dans l’ouest de l’Australie”,UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Australie #inondations #ellie #climat #lanina #réchauffementclimatique 
Dans la région australienne du Kimberley, l’ex-tempête tropicale Ellie a généré des inondations historiques. Le niveau de l’eau a atteint 15,81 mètres. L’eau reflue à présent, laissant apparaître de lourds dégâts.",2023-01-11T16:50:52Z,PT1M30S,1203,16,1,"['climat', 'réchauffement climatique', 'global warming', 'dérèglement climatique', 'crise climatique', 'inondations', 'catastrophe naturelle', 'ellie', 'australie', 'australia', 'floods', 'floodings']"
2,"La fusion nucléaire, pour quoi faire ? - Courrier international",DTBjvSlORyg,"La fusion nucléaire, pour quoi faire ?",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Nucléaire #énergie #fusion #transitionénergétique #sciences #énergie #climat 

Fin 2022, le gouvernement américain a annoncée une avancée importante dans la recherche sur la fusion nucléaire. Mais au fait, qu’est-ce que c’est ? Pourquoi les scientifiques fondent-ils tant d’espoirs sur ce mode de production d’énergie ? Et surtout, quand pourrait-on espérer l’exploiter à grande échelle ? Nos réponses en vidéo.",2023-01-10T16:30:02Z,PT4M28S,721,28,1,"['nucléaire', 'énergie', 'nuclear energy', 'centrales', 'transition énergétique', 'énergies fossiles', 'climat', 'réchauffement climatique', 'crise énergétique', 'crise climatique', 'global warming', 'fusion nucléaire', 'fission', 'sciences', 'environnement', 'recherche', 'courrier international']"
3,"Au Brésil, les images saisissantes d’un “Capitole bis” - Courrier international",zvc06diQZ2w,"Au Brésil, les images saisissantes d’un “Capitole bis”",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Brésil #Assaut #Congrès #Bolsonaro #Capitole #Brazil #extrêmedroite #saccage 
Dimanche 8 janvier, des partisans de l’ex-président brésilien, Jair Bolsonaro, ont pris d’assaut le Congrès de Brasília, ainsi que le palais présidentiel et la Cour Suprême. Notre résumé en vidéo des événements, qui font fortement écho à l’attaque du Capitole américain, le 6 janvier 2021.

Qualifiés de “terroristes” par le journal O Globo, les assaillants, qui refusent d’admettre la défaite de l’ex-dirigeant d’extrême droite à l’élection présidentielle, ont pris d’assaut le Congrès brésilien ainsi que le palais présidentiel et la Cour suprême, qu’ils ont eu le temps de saccager plusieurs heures durant avant d’être délogés par les forces de l’ordre. Sur les images compilées dans notre vidéo, on peut également les voir s’en prendre à des journalistes et à des policiers.",2023-01-09T11:42:27Z,PT2M46S,8105,58,50,"['brésil', 'brazil', 'assaut', 'congrès', 'Jair Bolsonaro', 'partisans', 'extrême droite', 'palais présidentiel', 'cour suprême', 'élection présidentielle au Brésil', 'lula', 'victoire', 'défaite', 'capitole', 'trump', 'états-unis', 'anderson torres', 'ibaneis rocha', 'sécurité', 'brasília', 'district fédéral', 'policiers', ""forces de l'ordre"", ""maintien de l'ordre"", 'intervention militaire', ""coup d'état"", 'saccages', 'vandalisme', 'attaque']"
4,"Une enquête dévoile l’exploitation du “Squad”, ados stars de YouTube - Courrier international",BVpF4moPH7o,"Une enquête dévoile l’exploitation du “Squad”, ados stars de YouTube",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#EtatsUnis #YouTube #TheSquad #droitdutravail #agressionsexuelle #enfance #enfance 

Une vaste enquête du Los Angeles Times révèle les dessous sordides de la chaîne Youtube de Piper Rockelle, adolescente américaine générant des millions de dollars. Sa mère est accusée par onze jeunes youtubeurs d’agressions sexuelles et de non-respect de la loi sur le travail des enfants.",2023-01-08T10:00:05Z,PT3M30S,902,31,4,"['Enfance', 'Ados', 'Adolescence', 'Travail des enfants', 'Youtube', 'Enfants youtubeurs', 'États-Unis', 'The Squad', 'Piper Rockelle', 'Los Angeles Times', 'Droit du travail', 'Travail']"
5,"Inde, Singapour... Comment la colonisation britannique a criminalisé l’homosexualité - Courrier international",ikCiGFBPBYI,"Inde, Singapour... Comment la colonisation britannique a criminalisé l’homosexualité",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#LGBT #LGBTQI #homosexualité #singapour #singapore #inde #india #asie #lois 

Singapour a dépénalisé les relations homosexuelles en novembre. Cette criminalisation avait été mise en place lors de la colonisation britannique. Aujourd’hui, la majorité des pays du Commonwealth condamnent légalement l’homosexualité.",2022-12-11T12:00:31Z,PT3M25S,1599,46,2,"['lgbt', 'lgbtqi', 'lgbtqia', 'homosexualité', 'homophobie', 'lois', 'code pénal', 'colonisation', 'colonialisme', 'empire colonial', 'empire colonial britannique']"
6,Manifestations en Mongolie : “mon loyer est plus élevé que mon salaire” - Courrier international,l9Jy4R0uSu8,Manifestations en Mongolie : “mon loyer est plus élevé que mon salaire”,UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Mongolie #Mongoliaprotests #OulanBator #Inflation #Pauvreté #charbon #coal #China 

Depuis le 4 décembre, d’importantes manifestations secouent la Mongolie. En cause, les révélations des médias mongols sur un scandale massif de corruption impliquant plusieurs personnalités politiques. Dans ce pays durement frappé par l’inflation, la colère ne retombe pas.",2022-12-09T16:12:22Z,PT1M53S,1594,55,1,"['mongolie', 'oulan-bator', 'mongolia', 'asie', 'asia', 'chine', 'charbon', 'coal', 'corruption', 'inflation', 'pauvreté', 'mongols', 'chevaux', 'steppes', 'coût de la vie', 'crise', 'manifestation', 'contestation', 'colère', 'soulèvement', 'courrier international']"
7,Marjane Satrapi : l’Iran vit “la première révolution féministe au monde suivie par les hommes” - Courrier international,ZvrQUqIDcZE,Marjane Satrapi : l’Iran vit “la première révolution féministe au monde suivie par les hommes”,UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Iran #iranprotests #mahsaamini #women #manifestations 
Malgré les tentatives de l’exécutif pour réprimer les manifestations, les Iraniens continuent de demander la chute du régime. Pour l’artiste iranienne Marjane Satrapi, pas de doute, “la République islamique est morte” : porté par une jeunesse “brillante”, ce mouvement a selon elle toutes les caractéristiques d’une révolution féministe.",2022-12-06T16:00:15Z,PT4M25S,1166,49,3,"['iran', 'protests', 'manifestation', 'soulèvement', 'contestation', 'révolution', 'révolte', 'féministe', 'féminisme', 'femmes', 'voile', 'port du voile', 'obligatoire', 'hijab', 'women', 'jin jiyan azadi', 'femmes vie liberté', 'mahsa amini', 'ebrahim raïssi', 'mollahs', 'régime iranien', ""république islamique d'iran"", 'marjane satrapi', 'persepolis', 'courrier international', 'interview']"
8,"Carlos Valcárcel parle interlingua, la langue que vous connaissez sans le savoir - Courrier international",O6Xi_ztCWK8,"Carlos Valcárcel parle interlingua, la langue que vous connaissez sans le savoir",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Interlingua #Langues #TikTok #Orlophe #espéranto 
Chaque semaine, « Courrier international » vous invite à découvrir une influenceuse ou un influenceur. Sur Tiktok, Orlophe a choisi d’utiliser l’interlingua. Cette langue construite, à la manière de l’espéranto, peut être comprise par la plupart des locuteurs de langues romanes, dont les francophones.",2022-11-30T16:00:18Z,PT3M18S,3333,79,5,"['interlingua', 'orlophe', 'tiktok', 'langues', 'langues étrangères', 'traduction', 'courrier international']"
9,“À bas Xi Jinping ! ”: Retour sur deux jours de manifestations exceptionnelles en Chine - Courrier international,Q1paBPHZf3w,“À bas Xi Jinping ! ”: Retour sur deux jours de manifestations exceptionnelles en Chine,UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Chine #Manifestations #XiJinping #confinement #zerocovid 

Depuis le 26 novembre, les manifestants défilent dans plusieurs villes chinoises. Un mouvement exceptionnel dans un pays très réprimé. Si les contestations se sont d’abord concentrées sur le Covid, elles ont pris un tournant plus politique.",2022-11-29T17:05:06Z,PT3M55S,5347,117,25,"['chine', 'china', 'covid-19', 'confinement', 'xi jinping', 'colère', 'urumqi', 'xinjiang', 'ouïgours', 'ouïghours', 'surveillance', 'liberté', ""liberté d'expression"", 'liberté de la presse', 'révolte', 'contestation', 'politique', 'santé', 'pandémie', 'incendie', 'feuilles blanches']"
