,index,videoId,title,channelId,channel,description,publication_date,duration,view_count,like_count,comment_count,tags
10,Mondial 2022 : ces gestes politiques qui ont passé le filtre de la censure - Courrier international,InM0guUxxGw,Mondial 2022 : ces gestes politiques qui ont passé le filtre de la censure,UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#qatar2022 #fifa #onelove #lgbt #coupedumonde2022 #droitshumains #censure 

Plusieurs sélections déclaraient avoir l’intention d’arborer des brassards ""One love"" en signe de solidarité envers la communauté LGBT au Qatar, où l’homosexualité est illégale. Mais la FIFA, qui ne l’entendait pas de cette oreille, a interdit ces symboles sous peine de sanctions sportives. Notre tour d’horizon en vidéo des gestes politiques observés dans les stades malgré tout.",2022-11-25T16:33:33Z,PT3M29S,2738,31,11,"['qatar 2022', 'worldcup', 'coupe du monde 2022', 'qatar', 'doha', 'lgbt', 'lgbtqi', 'droits humains', ""droits de l'homme"", 'politique', 'one love', 'brassards', 'manuel neuer', 'fifa', 'gianni infantino', 'censure', 'interdiction', 'carton jaune', 'eden hazard', 'diables rouges', 'mannschaft', 'nancy faeser', 'hadja lahbib', 'arc-en-ciel', 'rainbow flag', 'football', 'sport', ""liberté d'expression""]"
11,"Rencontre avec Nate Rugh, emprisonné une semaine en Allemagne avec Scientist Rebellion - Courrier international",d9H0xjOm0Oo,"Rencontre avec Nate Rugh, emprisonné une semaine en Allemagne avec Scientist Rebellion",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Climat #réchauffementclimatique #ScientistRebellion #désobéissancecivile #transitionénergétique #globalwarming #climatechange 

Alors que les actions de désobéissance civile pour le climat se multiplient ces derniers mois, des scientifiques sont venus grossir les rangs de ces nouveaux militants. Nous avons rencontré l’Américain Nate Rugh, 35 ans, membre du collectif “Scientist Rebellion”. Il a récemment passé sept jours en prison après une action dans un salon BMW.",2022-11-24T15:45:08Z,PT4M33S,378,10,1,"['Climat', 'réchauffement climatique', 'crise climatique', 'urgence climatique', 'énergies fossiles', 'transition énergétique', 'militants', 'activisme', 'scientist rebellion', 'courrier international', 'global warming', 'climate change', 'climate crisis', 'bmw', 'munich', 'munchen', 'désobéissance civile', 'environnement', 'politique']"
12,"Avant le ""clitoris"" de Paris 2024, ces autres mascottes ratées aux Jeux olympiques - Courrier international",ZBtJFre5g_8,"Avant le ""clitoris"" de Paris 2024, ces autres mascottes ratées aux Jeux olympiques",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#jeuxolympiques #paris2024 #mascottes #olympicgames #france 

Si les ""Phryges"" présentées mi-novembre sont raillées à l’international, l’histoire des Jeux olympiques est parsemée de mascottes peu esthétiques, drôles ou effrayantes. Notre sélection des personnages les plus moqués dans l'histoire de la compétition.",2022-11-22T16:00:17Z,PT2M16S,3862,29,2,"['jeux olympiques', 'olympic games', 'paris 2024', 'mascottes', 'les prhyges', 'clitoris', ""la france vue de l'étranger"", 'courrier international', 'grèce', 'états-unis', 'royaume-uni', 'histoire', 'sport', 'compétition']"
13,Mondial 2022 : les joueurs anglais appelés à dénoncer la répression en Iran - Courrier international,BU1Myg6C59g,Mondial 2022 : les joueurs anglais appelés à dénoncer la répression en Iran,UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Iran #Angleterre #Mondial2022 #worldcup2022 #coupedumonde2022 #qatar2022 #ENGIRA #ANGIRA 

Au deuxième jour de la Coupe du monde de football, l’Angleterre affronte l’Iran. À l’approche de ce match très politique, un appel a été lancé aux joueurs anglais, les invitant à faire mine de se couper une mèche de cheveux à chaque but marqué, pour soutenir les manifestants iraniens.",2022-11-21T11:42:10Z,PT1M58S,1395,19,2,"['iran', 'angleterre', 'engira', 'angira', 'match', 'rencontre', 'groupe B', 'football', 'mondial 2022', 'worldcup 2022', 'qatar 2022', 'coupe du monde de football 2022', 'FIFA', 'manifestations', 'protests', 'protestation', 'contestation', 'femmes', 'femme vie liberté', 'mahsa amini', 'raissi', 'cheveux', 'geste', 'signe']"
14,"Menacées de submersion, les Tuvalu vont se dupliquer dans le métavers - Courrier international",t0Q8ji3tdCM,"Menacées de submersion, les Tuvalu vont se dupliquer dans le métavers",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Tuvalu #Cop27 #climat #rechauffementclimatique #océans 
Alors que la Cop27 prend fin ce 18 novembre, les Tuvalu font une nouvelle fois forte impression. Après un discours prononcé les pieds dans l’eau, en 2021, pour alerter sur la montée des océans, le ministre Simon Kofe a annoncé que l’archipel allait créer une version numérique de son territoire et de sa culture, menacés de disparition.

“Notre pays disparaît, et nous voilà contraints de devenir la première nation numérique au monde.” L’archipel des Tuvalu ne sait plus sur quel ton le chanter : son territoire est condamné à mort. “La montée du niveau des océans engloutira les Tuvalu d’ici quelques décennies”, martèle le ministère des Affaires étrangères de l’archipel du Pacifique dans un message vidéo, diffusé en marge de la Cop27. Alors que la conférence internationale sur le climat s’achève ce vendredi 18 novembre, Simon Kofe a adressé au reste du monde un nouveau message d’alerte, dont nous avons traduit et sous-titré un extrait dans notre vidéo.",2022-11-18T13:18:03Z,PT1M8S,765,28,13,"['climat', 'changement climatique', 'réchauffement climatique', 'tuvalu', 'tuvaluan', 'simon kofe', 'cop27', 'cop26', 'global warming', 'climate change', 'speech', 'water', 'oceans', 'montée des eaux', 'mers', 'océans', 'montée des océans', 'environnement', 'pacifique', 'îles', 'submersion', 'engloutissement', 'englouti', 'réfugiés climatiques', 'métavers']"
15,"Qui est la nouvelle présidente slovène, Nataša Pirc Musar ? - Courrier international",UJVa0W-fAmw,"Qui est la nouvelle présidente slovène, Nataša Pirc Musar ?",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#slovenia #slovénie #natasapircmusar #slovenija 

Elle est la première femme à occuper la fonction présidentielle en Slovénie : Natasa Pirc Musar. Elle a été élue le 13 novembre, à l'issue de sa première candidature à une élection. Elle a remporté 54 % des voix contre Anze Logar. Mais, avant de se lancer en politique, elle a connu plusieurs vies, rapporte The Guardian.

Natasa Pirc Musar a débuté comme journaliste à la télévision slovène. Elle a présenté les journaux avant d’étudier le journalisme aux États-Unis. Elle s’est ensuite lancée dans le droit et a obtenu un doctorat. Elle est devenue une avocate célèbre en Slovénie, connue pour avoir défendu Melania Trump, l’ex-première dame américaine, note la BBC.

Spécialisée dans les sujets concernant les données personnelles, elle a longtemps travaillé pour l’État slovène et l’Union européenne sur cette question.",2022-11-16T16:35:15Z,PT1M19S,848,22,0,"['slovénie', 'slovenia', 'europe', 'balkans', 'natasa pirc musra', 'présidente', 'président', 'élection présidentielle', 'vote', 'femme', 'politique', 'courrier international', 'melania trump', 'tv slovenija', 'slovenija']"
16,"Malgré les sanctions, du pétrole russe continue d’alimenter les voitures américaines | Enquête - Courrier international",UZvYl56DRLY,"Malgré les sanctions, du pétrole russe continue d’alimenter les voitures américaines | Enquête",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Russie #Sanctions #Pétrole #GuerreEnUkraine #ÉtatsUnis 
Les sanctions économiques imposées à la Russie depuis l’invasion de l’Ukraine ont une faille, dévoile le « Wall Street Journal », qui permet à Moscou de continuer à exporter du pétrole utilisé dans les voitures américaines. Une enquête vidéo traduite et sous-titrée par « Courrier international ».",2022-11-14T16:45:05Z,PT5M49S,855,25,8,"['russie', 'ukraine', 'guerre en ukraine', 'war', 'russia', 'poutine', 'putin', 'vladimir', 'états-unis', 'pétrole', 'carburant', 'essence', 'diesel', 'voiture', 'stations-service', 'pompe à essence', 'faire le plein', 'américains', 'sanctions contre la russie', 'sanctions économiques', 'wall street journal', 'enquête', 'courrier international', 'énergie', 'énergies fossiles', 'exportations', 'importations', 'économie', 'automobilistes']"
17,"Blocages, désinformation : le sursaut des Bolsonaristes après la défaite - Courrier international",6FmMWBlXK7g,"Blocages, désinformation : le sursaut des Bolsonaristes après la défaite",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Brésil #JairBolsonaro #Lula #FakeNews #élections 

Depuis l’annonce des résultats de l’élection présidentielle au Brésil, dont Lula est sorti vainqueur face à Jair Bolsonaro, une partie des partisans du président sortant refusent d’accepter sa défaite. Retour en images sur deux jours d’instabilité dans le pays.",2022-11-02T19:00:02Z,PT1M28S,6400,59,15,"['brésil', 'brazil', 'brasil', 'lula', 'victoire', 'jair bolsonaro', 'défaite', 'désinformation', 'accusations de fraude électorale', 'tse', 'tribunal supérieur électoral', 'fake news', 'manifestations', 'barrages routiers', 'blocages', 'alexandre de moraes', 'vote', 'scrutin', 'protestation']"
18,Climat : la désobéissance civile peut-elle transcender les clivages ? - Courrier international,fEC8jbB51aU,Climat : la désobéissance civile peut-elle transcender les clivages ?,UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#rechauffementclimatique  #désobéissancecivile #JustStopOil #TransitionÉnergétique #Activisme #musées #vangogh #art #climatechange #climateaction 

Ces dernières semaines, les actions des militants écologistes dans les musées choquent assez largement l’opinion, préoccupée par la préservation des œuvres d’art et souvent perplexe sur le message. Pour comprendre l’objectif de ces actions et analyser leur perception, notre interview croisée en vidéo d’Alex De Koning, porte-parole de ""Just Stop Oil"", et de la chercheuse américaine Eryn Campbell.",2022-11-02T16:55:16Z,PT5M38S,848,19,6,"['climat', 'changement climatique', 'réchauffement climatique', 'crise climatique', 'dérèglement climatique', 'urgence', 'écologie', 'climate change', 'global warming', 'van gogh', 'vermeer', 'monet', 'tableaux', 'peintures', 'toiles', ""oeuvres d'art"", 'musées', 'artwork', 'paintings', 'actions', 'activisme', 'militants', 'just stop oil', 'royaume-uni', 'tournesols', 'soupe à la tomate', 'désobéissance civile', 'radicalité', 'cop27', 'énergie', 'transition énergétique', 'énergies fossiles', 'émissions de gaz à effet de serre', 'eryn campbell', 'alex de koning']"
19,"Le témoignage d’Alla, Ukrainienne violée à Izioum - Courrier international",d3iDmXS70C4,"Le témoignage d’Alla, Ukrainienne violée à Izioum",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Ukraine #Crimesdeguerre #viols #Izioum #guerreenukraine #russie #soldatsrusses 

Au mois de mars, les forces russes sont entrées à Izioum, dans le nord-est de l’Ukraine. Le “Washington Post” publie le témoignage d’Alla, 52 ans, qui affirme avoir été torturée et violée par les soldats russes. Un document vidéo pouvant heurter la sensibilité des spectateurs.

Le témoignage de cette femme “s’ajoute à un nombre croissant d’éléments corroborant les accusations de crimes de guerre envers les soldats et officiers russes dans les régions ukrainiennes qu’ils ont occupées”, souligne le Washington Post. Les journalistes américains précisent avoir visité à deux reprises le lieu où cette femme dit avoir été séquestrée, “une fois seuls, et une fois avec Alla et son mari”. Ils ont pu constater que son récit coïncidait avec les détails observés sur place.

Abonnez-vous à notre chaîne YouTube :",2022-10-26T15:59:43Z,PT4M33S,1894,13,4,"['guerre en ukraine', 'ukraine', 'russie', 'guerre', 'conflit', 'invasion russe', 'soldats russes', 'moscou', 'kremlin', 'europe', 'crimes de guerre', 'viols', 'violences sexistes et sexuelles', 'droits humains', 'femmes', 'ukrainienne', 'civils', 'izioum', 'boutcha', 'izium', 'butcha', 'victimes', 'victims']"
20,"Les secrets de la laitue qui a battu Liz Truss, racontés par le “Daily Star” - Courrier international",rJ_LrRgRWkw,"Les secrets de la laitue qui a battu Liz Truss, racontés par le “Daily Star”",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Laitue #LizTruss #DailyStar #RoyaumeUni #politique #crise #gouvernement #premièreministre
Le rédacteur en chef adjoint du tabloïd britannique revient sur l’histoire de la salade la plus célèbre du monde, avec humour et un brin d’exaspération quant à la situation politique dans le pays.",2022-10-21T16:35:16Z,PT5M26S,1369,36,2,"['uk', 'laitue', 'royaume-uni', 'salade', 'liz truss', 'première ministre', 'britannique', 'gouvernement démission', 'crise', 'politique', 'daily star', 'tabloïd']"
21,"Aux États-Unis, l’avortement au cœur de la campagne des midterms - Courrier international",1nUyMchTRQ0,"Aux États-Unis, l’avortement au cœur de la campagne des midterms",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Midterms #USA #Avortement #ÉtatsUnis #elections2022 #abortion 

À l’approche des élections de mi-mandat aux États-Unis, qui ont lieu le 8 novembre, un sujet s’est largement imposé dans la campagne du camp démocrate : celui de l’avortement et des droits reproductifs, avec des clips parfois très forts. Notre compilation en vidéo.

“Ron De Santis veut supprimer le droit à l’avortement”. “Brian Kemp fait de l’avortement un crime avant même que les femmes ne sachent qu’elles sont enceintes”. À l’instar de ces tacles contre les gouverneurs de Floride et de Géorgie, de très nombreux clips de campagne du camp démocrate ont choisi une ligne d’attaque très claire : dénoncer les positions anti-avortement de leurs rivaux républicains. Depuis que la Cour Suprême a supprimé, le 24 juin dernier, le droit constitutionnel à l’avortement, de très nombreux États américains ont interdit ou restreint l’accès à l’IVG. Le sujet, qui divise profondément le pays, est depuis lors au cœur du débat politique dans le pays.",2022-10-21T10:00:04Z,PT5M27S,799,19,0,"['avortement', 'états-unis', 'femmes', 'droits reproductifs', 'abortion', 'reproductive rights', 'women', 'usa', 'élections de mi-mandat', '8 novembre 2022', 'midterms', 'vote', 'scrutin', 'sondages', 'démocrates', 'républicains', 'joe biden', 'donald trump', 'ron de santis', 'val demings', 'katie darling', 'femmes enceintes', 'mandela barnes', 'politique', 'économie', 'inflation', 'cour suprême', 'roe v wade', 'roe vs wade']"
22,Euthanasie : où en est-on ailleurs dans le monde ? | Cartes sur table 🗺️ - Courrier international,0iLl6NIu-Pg,Euthanasie : où en est-on ailleurs dans le monde ? | Cartes sur table 🗺️,UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#euthanasie #findevie #france #maladie ##belgique #canada #nouvellezelande #suicideassisté 
En France, Emmanuel Macron a annoncé l’ouverture d’une consultation nationale sur la fin de vie avant un éventuel nouveau cadre légal en 2023. Le sujet est au cœur de débats dans de nombreux pays, y compris dans ceux qui autorisent déjà une forme d’euthanasie ou de suicide assisté. Tour d’horizon en vidéo, dans ce nouvel épisode de notre série “Cartes sur table”.",2022-10-06T16:32:10Z,PT5M23S,1799,42,3,"['Euthanasie', 'mort', 'fin de vie', 'suicide assisté', 'bioéthique', 'santé', 'maladie', 'incurable', 'soins palliatifs', 'aide active à mourir', 'euthanasia', 'canada', 'belgique', 'nouvelle-zélande', 'australie', 'pays-bas', 'france', 'emmanuel macron', 'cartes', 'cartes sur table', 'courrier international', 'loi', 'vote', 'justice', 'légal', 'législation']"
23,"Au Brésil, la crainte d’une “avalanche d’accusations de fraude” après la présidentielle - Courrier international",Ds5SkmwXpEk,"Au Brésil, la crainte d’une “avalanche d’accusations de fraude” après la présidentielle",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Brésil #election #Lula #Bolsonaro #Brazil #election2022 #eleições2022 #vote 

À l’approche du premier tour de ce dimanche 2 octobre, le Brésil redoute un scénario à l’américaine : Jair Bolsonaro refusera-t-il sa défaite si Lula l’emporte ? Le pays se prépare à une désinformation massive, explique Cristina Tardáguila, fondatrice de l’agence de fact-checking Lupa. Même si les Brésiliens, estime-t-elle, sont bien mieux armés contre les fake news qu’ils ne l’étaient en 2018.",2022-10-01T15:00:08Z,PT7M43S,1505,42,1,"['brésil', 'brazil', 'élections', 'elections 2022', 'eleições presidenciais', 'eleições', 'Lula', 'Bolsonaro', 'Jair Bolsonaro', 'Luiz Inácio Lula da Silva', 'politique', 'vote', 'scrutin', 'premier tour', 'fake news', 'fausses nouvelles', 'désinformation', 'intox', 'disinformation', 'misinformation', 'second tour', 'accusations', 'fraude électorale', 'votação electrónica', 'présidentielle', 'députés', 'sénateurs', 'gouverneurs', 'urnes', 'vote électronique', 'tse', 'tribunal supérieur électoral', 'justice électorale', 'cristina tardáguila', 'courrier international']"
24,Nord Stream : pourquoi la crise énergétique en Europe affectera aussi le reste du monde - Courrier international,OYGBVurZI34,Nord Stream : pourquoi la crise énergétique en Europe affectera aussi le reste du monde,UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#NordStream #Europe #crise #énergie #gaz 
Dans cette vidéo du Wall Street Journal, traduite et sous-titrée par Courrier international, le quotidien américain retrace les grandes étapes qui ont conduit à la crise énergétique en Europe, et analyse l'impact qu'elle aura non seulement pour le Vieux-Continent, mais aussi pour le reste du monde.",2022-09-29T15:00:30Z,PT5M32S,2945,50,28,"['nord stream 1', 'nord stream 2', 'crise énergétique', 'energy crisis', 'gaz', 'gas', 'naturel', 'russie', 'europe', 'union européenne', 'ue', 'eu', 'russia', 'vladimir poutine', 'putin', 'sanctions', 'pipelines', 'guerre en ukraine', 'war', 'énergies fossiles', 'énergie renouvelable', 'transition énergétique', 'prix', 'hausse', 'inflation', 'hiver', 'winter', 'chauffage', 'sobriété énergétique']"
25,Ces Russes qui choisissent l'exil pour échapper à la mobilisation en Ukraine - Courrier international,FqasaIGmNNM,Ces Russes qui choisissent l'exil pour échapper à la mobilisation en Ukraine,UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#Russie #mobilisation #exil #guerre #ukraine #fuite #déserteurs #poutine
“Je pense qu’aucune personne saine d’esprit ne veut aller faire la guerre.” À l’image de Iouri, jeune homme interviewé à la frontière géorgienne, nombre de Russes ont préféré quitter leur pays plutôt que d’être mobilisés. Le président russe, Vladimir Poutine, a annoncé le 21 septembre la “mobilisation partielle” de la population, faisant appel à 300 000 réservistes de l’armée russe. Depuis lors, les images de l’exode des Russes se multiplient sur les réseaux sociaux. Nous les avons compilées dans notre vidéo.

Un extrait très relayé, notamment par le média russe Meduza, montre un poste de rassemblement militaire – dont la localisation est inconnue –, dans lequel on voit un officier réprimander vertement les Russes mobilisés : “fini de jouer, vous êtes tous militaires, maintenant ! ”",2022-09-26T16:04:33Z,PT3M24S,5559,59,17,"['russie', 'russia', 'poutine', 'putin', 'vladimir', 'mobilisation', 'mobilization', 'conscrits', 'mobilisés', 'russes', 'exil', 'fuite', 'exode', 'géorgie', 'finlande', 'turquie', 'arménie', 'ouzbékistan', 'frontières', 'sanctions', 'loi', 'déserteurs', 'désertion', 'hommes', 'femmes', 'officier', 'militaires']"
26,"“À mort le dictateur ! ” : après le décès de Mahsa Amini, la révolte des Iraniens en images - Courrier international",0kY8zmIjPSY,"“À mort le dictateur ! ” : après le décès de Mahsa Amini, la révolte des Iraniens en images",UC7xph2qAEotmyUPJbFVI95w,Courrier international,"#MahsaAmini #Iran #police #colère #manifestations #hijab #voile #femmes
Mahsa Amini, 22 ans, est morte le 16 septembre à la suite de son arrestation par la police des mœurs. Ses proches accusent les autorités d’avoir battu la jeune femme, dont la disparition a provoqué une vague de colère dans le pays. Retour en vidéo sur ce mouvement de révolte.",2022-09-20T16:12:09Z,PT2M26S,27908,489,150,"['iran', 'mahsa amini', 'femmes', '#مهسا_امینی', 'iraniennes', 'voile', 'hijab', 'cheveux', 'manifestations', 'contestation', 'colère', 'violences policières', 'violences faites aux femmes', 'dictature', 'régime', ""république islamique d'iran"", 'police', 'police des mœurs', 'moyen-orient', 'révolte', 'répression']"
