start,stop,day,length_minutes,%_of_channel,channel_name,title,subtitle,date,desc_text,category_text,macro_category
2023-05-28 01:05:00+02:00,2023-05-28 06:30:00+02:00,2023-05-28 00:00:00+02:00,325,1.7347211102215105,TF1,Programmes de la nuit,,,Retrouvez tous vos programmes de nuit.,programme indéterminé,autre
2023-05-28 06:30:00+02:00,2023-05-28 10:05:00+02:00,2023-05-28 00:00:00+02:00,215,1.14758473445423,TF1,TFou,,,Une émission jeunesse qui propose les meilleures séries de dessins animés du moment.,magazine jeunesse,jeunesse
2023-05-28 10:05:00+02:00,2023-05-28 11:00:00+02:00,2023-05-28 00:00:00+02:00,55,0.29356818788364025,TF1,Automoto,,,,sports mécaniques,sport
2023-05-28 11:00:00+02:00,2023-05-28 11:50:00+02:00,2023-05-28 00:00:00+02:00,50,0.26688017080330934,TF1,Téléfoot,,,,sport : football,sport
2023-05-28 11:50:00+02:00,2023-05-28 12:50:00+02:00,2023-05-28 00:00:00+02:00,60,0.32025620496397117,TF1,Les douze coups de midi,,,"Qui sera le calife à la place du calife ? Chaque jour, à midi tapante, quatre candidats s'affrontent pour empocher les 30 000 euros de la cagnotte et décrocher l'étoile mystérieuse et ses cadeaux. Seule condition, bien répondre aux questions de culture générale.",divertissement : jeu,divertissement
2023-05-28 12:50:00+02:00,2023-05-28 12:55:00+02:00,2023-05-28 00:00:00+02:00,5,0.02668801708033093,TF1,Petits plats en équilibre,,,"Chaque jour, Laurent Mariotte propose des recettes simples et savoureuses pour profiter des ingrédients de saison, en donnant la part belle aux produits locaux.",magazine de la gastronomie,divertissement
2023-05-28 12:55:00+02:00,2023-05-28 13:00:00+02:00,2023-05-28 00:00:00+02:00,5,0.02668801708033093,TF1,Météo,,,Prévisions météorologiques en France par le service de TF1.,météo,méteo
2023-05-28 13:00:00+02:00,2023-05-28 13:40:00+02:00,2023-05-28 00:00:00+02:00,40,0.21350413664264745,TF1,Journal,,,Journal télévisé de TF1 qui revient sur les faits marquants et les événements essentiels qui ont fait de cette journée une journée différente de toutes les autres.,journal,journal
2023-05-28 13:40:00+02:00,2023-05-28 14:50:00+02:00,2023-05-28 00:00:00+02:00,70,0.37363223912463306,TF1,Reportages découverte,Les aventuriers du bout du monde,,"Alors que certains préfèrent avoir une vie paisible et reposante, d'autres Françaises et Français ont fait un choix bien différent. Ils ont fait de leur vie leur plus grande aventure. Leur objectif est de vivre leurs rêves. Pendant plusieurs semaines, une équipe a suivi trois histoires d'aventuriers.",magazine de reportages,magazine
2023-05-28 14:50:00+02:00,2023-05-28 16:10:00+02:00,2023-05-28 00:00:00+02:00,80,0.4270082732852949,TF1,Reportages découverte,Les parcs de loisirs : une passion française,,"La France compte plus de 300 parcs de loisirs. Chaque année, il s'en ouvre de nouveaux. Pendant près d'un an, les caméras ont suivi trois passionnés qui ont décidé d'ouvrir leur propre établissement. Zoo, parc à thème ou parc de loisirs immersifs, tous ont l'espoir de séduire un large public.",magazine de reportages,magazine
2023-05-28 16:10:00+02:00,2023-05-28 17:15:00+02:00,2023-05-28 00:00:00+02:00,65,0.3469442220443021,TF1,Les Docs du week-end,Adultères et filatures : le monde secret des détectives privés,,"Adultères, abus de confiance, enquêtes sur des arrêts de travail abusifs ou recherche de personnes disparues : les détectives privés exercent un métier plein de surprises et de rebondissements qui fascine. Une équipe a partagé le quotidien de quatre détectives privés.",magazine de société,magazine
2023-05-28 17:15:00+02:00,2023-05-28 18:20:00+02:00,2023-05-28 00:00:00+02:00,65,0.3469442220443021,TF1,Sept à huit Life,,,Sept à Huit Life privilégie la proximité et traite des sujets au plus près de la vie quotidienne des Français.,magazine de société,magazine
2023-05-28 18:20:00+02:00,2023-05-28 19:50:00+02:00,2023-05-28 00:00:00+02:00,90,0.4803843074459568,TF1,Sept à huit,,,"Retrouvez l'intégralité de Sept à Huit, magazine de l'information présenté par Harry Roselmack tous les dimanches soir.",magazine de société,magazine
2023-05-28 19:50:00+02:00,2023-05-28 19:53:00+02:00,2023-05-28 00:00:00+02:00,3,0.016012810248198558,TF1,Agissons pour demain,,,,magazine de services,magazine
