start,stop,day,length_minutes,%_of_channel,channel_name,title,subtitle,date,desc_text,category_text,macro_category
2023-09-01 18:17:00+02:00,2023-09-01 18:30:00+02:00,2023-09-01 00:00:00+02:00,13,0.06852203246890154,Canal+,L'hebd'Hollywood,Spéciale ''Transformers : Rise of the Beasts'',,"La revue de l'actualité du cinéma US. Sortie salles, festivals, films en préparation ou en tournage : Didier Allouch est notre sentinelle à Hollywood ! Des news ponctuées de rencontres avec les grandes figures du cinéma américain, de belles exclus, ainsi que des sujets surprenants sur les coulisses de la célèbre cité des Anges.",magazine du cinéma,magazine
2023-09-01 18:30:00+02:00,2023-09-01 19:41:00+02:00,2023-09-01 00:00:00+02:00,71,0.374235715791693,Canal+,Saturday Night Live,Aubrey Plaza/Sam Smith,,"Cette émission phare du paysage audiovisuel américain enchaîne sketches parodiques et prestations musicales en live. L'émission a lancé la carrière de bon nombres d'acteurs et d'auteurs, et a vu passer les plus célèbres vedettes hollywoodiennes et personnalités américaines.",divertissement,divertissement
2023-09-01 19:41:00+02:00,2023-09-01 19:45:00+02:00,2023-09-01 00:00:00+02:00,4,0.02108370229812355,Canal+,Stars à Venise,,,Canal+ déploie un large dispositif pour couvrir la 79ème édition de La Mostra de Venise 2022. Toutes les actualités du festival de cinéma sont passées en revue sur les antennes du groupe Canal+ et les stars et les réalisateurs et les films présents et passés sont aussi mis en avant.,emission spéciale,
2023-09-01 19:45:00+02:00,2023-09-01 20:24:00+02:00,2023-09-01 00:00:00+02:00,39,0.20556609740670462,Canal+,Jamel Comedy Club,,,La 12ème saison du Jamel Comedy Club permet de découvrir une nouvelle génération d'artistes sur scène. C'est Ilyes Djadel qui prend les commandes de l'émission et présente les jeunes humoristes sociétaires. Jamel l'accompagne au bar ou sur scène avec des invités.,divertissement,divertissement
2023-09-01 20:24:00+02:00,2023-09-01 20:27:00+02:00,2023-09-01 00:00:00+02:00,3,0.015812776723592662,Canal+,Les kassos,Motue / L'ornithorynque,2022,"Saison:7 - Episode:15 - La destruction des icônes de la pop culture continue ! La série d'animation pour adultes ""LES KASSOS"" du studio Bobby Prod, revient pour sa septième saison. Dans le bureau de l'assistante sociale au bord du burnout, les personnages iconiques de la pop culture se confient, souvent bien trop ouvertement, sur leurs petits tourments et grandes névroses. Retrouvez les anciens et les tout nouveaux ""Kassos"" dans une Saison 7 pleine de surprises, mais aussi et surtout d'humour noir et de sarcasmes.",série d'animation,divertissement
2023-09-01 20:27:00+02:00,2023-09-01 20:30:00+02:00,2023-09-01 00:00:00+02:00,3,0.015812776723592662,Canal+,Les kassos,Doudoom,2022,"Saison:7 - Episode:16 - La destruction des icônes de la pop culture continue ! La série d'animation pour adultes ""LES KASSOS"" du studio Bobby Prod, revient pour sa septième saison. Dans le bureau de l'assistante sociale au bord du burnout, les personnages iconiques de la pop culture se confient, souvent bien trop ouvertement, sur leurs petits tourments et grandes névroses. Retrouvez les anciens et les tout nouveaux ""Kassos"" dans une Saison 7 pleine de surprises, mais aussi et surtout d'humour noir et de sarcasmes.",série d'animation,divertissement
2023-09-01 20:30:00+02:00,2023-09-01 20:49:00+02:00,2023-09-01 00:00:00+02:00,19,0.10014758591608687,Canal+,Groland le zapoï,,,"Michael Kael, Francis Kuntz, Gustave de Kervern et tous leurs ami(e)s repartent à l'assaut d'une nouvelle saison Grolandaise ! Tous œuvreront dans l'espoir un peu fou que le Zapoï corresponde enfin à sa définition dans Wikipedia : ""un phénomène de société russe se traduisant par une consommation d'alcool conduisant à une ivresse de plusieurs jours.""",divertissement-humour,divertissement
2023-09-01 20:49:00+02:00,2023-09-01 21:11:00+02:00,2023-09-01 00:00:00+02:00,22,0.11596036263967953,Canal+,Mostra,,,"Mostra 2022 Venise est une émission quotidienne de 15 minutes présentée par Antoine de Caunes. Il interviewe chaque jour une star présente à Venise, l'émission traite de l'actualité et des meilleurs moments du Festival, et Didier Allouch fait vivre les grands moments du tapis rouge.",magazine du cinéma,magazine
2023-09-01 21:11:00+02:00,2023-09-01 22:57:00+02:00,2023-09-01 00:00:00+02:00,106,0.5587181109002741,Canal+,Mayday,,2023,"Lorsqu'il prend place dans sa cabine, le pilote Brodie Torrance ne se doute pas un instant de ce qui l'attend. Traversant une zone de turbulence, l'avion doit atterrir d'urgence, prouesse que Brodie parvient miraculeusement à réussir sur l'île de Jolo, en Indonésie. Sur place, les quatorze passagers sont pris en otages par des rebelles locaux. Brodie décide alors de solliciter l'aide de Louis Gaspare, un prisonnier qui était escorté dans l'avion par un policier canadien et qui se retrouve à ses côtés dans cette histoire. Ils ont un objectif commun, délivrer les passagers et fuir cette île coûte que coûte...",film d'action,divertissement
2023-09-01 22:57:00+02:00,2023-09-02 00:27:00+02:00,2023-09-01 00:00:00+02:00,90,0.47438330170777987,Canal+,Beast,,2022,"Parti en vacances avec ses deux filles, le docteur Nate Samuels choisit de les emmener en Afrique du Sud dans une réserve naturelle. Il y retrouve son vieil ami Martin Battles qui gère le lieu et leur fait découvrir ces magnifiques paysages. Jusqu'au moment où un lion les prend en chasse. Unique survivant de la traque de braconniers sanguinaires, l'animal devient incontrôlable et dévaste tout sur son passage, prenant chaque intrus sur son territoire comme un ennemi. Les paisibles vacances de la famille Samuels deviennent ainsi une mission de survie dont elle ne pourra sortir qu'en restant unie...",film : thriller,divertissement
