Nom,Prénom,Fonction,Média ou organisation
Aballain,Olivier,Directeur de formation au journalisme,Esj lille
Abalo,André,Jri,France TV
Abbiateci,Jean,Journaliste,
Aboudou,Djamiou,Journaliste,L’ emissaire
Acar,Anne-Lucie,Journaliste,Freelance
Ackermann,Pierre,Copil,Demain en main
Adaoust,Camille,Journaliste spécialiser climat - environnement,France info
Adoh,Déborah,Journaliste et fondatrice d’ endémik,Endémik
Advocat,Raoul,Journaliste,France 3
Aeschimann,Pierre-Eric,Journaliste,L’ obs
Agorram,Laïla,Journaliste,France 3
Aguilar,Hélène,Indépendant,Podcast où être le beau ? * association pour un design soutenable
Ahamed-Mikidache,Houmi,Journaliste,Era environnement
Aillerie,Marie,Alterante en journalisme,"76actu , côté rouen"
Aiquel,Pablo,Journaliste,Le gazette de commune
Ait Habbouche,Morad,Journaliste,Agence de presse lui être pas bel le vie
Ajmed Association Des Journalistes Médicaux De La Presse Grand Public,Agnès Duperrin Et Rica Etienne,Co président ajmed,Ajmed
Alavedra-Juncosas,Florence Laetitia,Rédacteur en chef,Feat - y
Albert,Marie,Journaliste,Pigiste
Albertini,Clarisse,Data journaliste,Indépendant
Alduy,Cecile,"Chercheuse , autrice",Stanford university
Alex Morss,Ms,Writer,Alex morss
Alexandre,Matthieu,"Co-dirigeant , reporter",Interreviews.fr
Alias,Marc,Journaliste scientifique cp numéro 94236,Nexus
Allafort,Lê Thi Mai,Rédacteur en chef,Le toque magazine – ngpa
Allante,Philippe,Réalisateur et documentariste,France TV
Allard,Laure,Étudiant,École de journalisme de nice
Allart,Antoine,Journaliste,France 3
Allavoine,Louise,Photographe,Indépendant
Allemand,Sophie,Journaliste ( cdd ),Radio france
Allimant,Romain,Journaliste,Indépendant
Alméras,Claire,Rédatrice en chef adjoint,Famille et éducation
Almonté,Marie,Rédacteur graphiste,Popi – bayard presse
Alvarez,Concepcion,Cheffe de rubrique transition écologique,Novethic
Amandine,Rossato,Journaliste,Pigiste
Amichaud,Romain,Journaliste,Publihebdo
Amicone,Sylvia,Journaliste,Lci
Andre,Catherine,Directeur éditorial,Voxeurop
Angel,Marina,Pigiste,"L’ usine nouvelle , l’ usine digital , industrie et technologies"
Apaloo,Julien,Reporter d’ image,Bfmtv
Arassus,Romane,Alternante,Medtronic
Argelas,Milan,Journaliste,Bfmtv
Arnould,Marie,Rédacteur en chef,Le 4 saison
Aronson,David,Ecrivain,Freelance
Artaud,Violette,Journaliste,Marsactu
Arutunian,Sophie,Responsable pédagogique en école de journalisme,Iscpa toulouse
Ascensio,Amandine,Pigiste,"Afp , figaro , mediapart , etc …"
Ascher,David,Directeur de publication,Actualité - environnement
Assunta,Corbo,Journaliste,News48.it
Astier,Marie,Journaliste,Reporterre
Astruc,Lionel,Journaliste et écrivain,Indépendant
Attal,Debora,Journaliste et fondatrice de refyld,Refyld
Aubron,Laurence,Directeur,"Euradio , le radio européen de territoire"
Audije,Paco,Journaliste et correspondre,Https://periodistas-es.com/ l’ humanité magazine /
Auditeau,Pascale,Journaliste,Le république de centre
Auffray,Élodie,Journaliste,Pigiste
Augier,Rodolphe,Rédacteur et reporteur d’ image,France TV
Augry,Marie Laure,Journaliste,Journalisme et citoyenneté
Aulnette,Clément,Journaliste,Pigiste
Autran,Julien,Rédacteur graphiste,Phosphore et we demain 100 pourcent ado
Autret,Nolwenn,Journaliste,Rfi
Aveline,Marie-Laure,Journaliste,Le nouvelle république de centre - ouest
Avon,Simon,Étudiant,Ecole de journalisme de grenoble
Avril,Annabelle,Photographe,Vivre le media
Azouvi,Cyril,Reporter,Cela m’ intéresse
Ba,Amadou,Journaliste,Innovafrica.com
Babin-Chevaye,Carole,Auteure et facilitatrice,Mondedespossibles.today
Bachelot,Manon,Réalisateur,
Bachiri Wadimoff,Léo,Journaliste,Rts ( radio télévision suisse )
Badets,Véronique,Cheffe de rubrique envrionnement,Le pèlerin
Badia,Thomas Diego,Réalisateur,Freelance
Baïetto,Thomas,Journaliste,France info
Bailly,David,Rédacteur,France 3
Balao,Kossi Elom,Président,Réseau de journaliste scientifique d’ afrique francophone
Balcaen,Colombine,Étudiant,
Baldos,Raphaël,Journaliste,
Ballot,Nicolas,Rédacteur en chef,Syndicalisme hebdo et cfdt magazine
Balluffier,Asia,Journaliste,Le monde
Baltus,Margaux,Journaliste,France TV
Bambanayo Wandja,Gratius,Journaliste,Journal le baromètre
Bannier,Hélène,Coordinateur de rédaction,Vivant le média
Bannier,Laura,Journaliste,Luxemburger wort
Barbès,Pascale,Journaliste,France 3
Barde,Constance,Co-fondatrice,Nouveau air studio
Bardou,Florian,Rédacteur reporter,Libération
Barette,Christophe,Journaliste,Pigiste
Baritello,Sonia,Journaliste,France 24
Barnéoud,Lise,Pigiste,Le monde sur mediapart / science et vie junior / cité de science …
Baron,Catherine,Rédacteur traducteur,Courrier international
Barra,Muriel,Fondatrice sur productrice,Lato sensu productions
Barraud,Clément,Journaliste,Le sans-culotte
Barreyre,Christophe,Réalisateur,Free lancer
Barroux,Rémi,Journaliste,Le monde
Barth,Anaïs,Journaliste environnement,Tf1
Barthelemy,Simon,Journaliste,Rue89 bordeaux / le croix
Barthes,Romain,Directeur de rédaction,Webtoulousain.fr
Barthez,Nancy,Rédacteur en chef,Vmôme
Bartoli,Eloïse,Journaliste apprentie,France info
Bascou,Stéphanie,Indépendant,Plusieurs média économique ( dont pour l’ eco )
Bastide,Lauren,Journaliste,Le poudre
Bataillon,Stéphane,Grand reporter,Le croix
Batard,Patrick,Photographe,Indépendant
Baudoux,Nicolas,Journaliste multimédia,L’ echo
Baudry,Martin,Étudiant,École de journalisme de grenoble
Bauzon,Jérôme,Coordinateur rédaction,Rcf pays d’ aude
Bayol,Rémi,Journaliste en apprentissage,Xxi et le revue dessinée
Beaudonnet,François,Rédacteur en chef de rédaction européen,"France TV ( france 2 , France 3"
Beaujon,Agathe,Journaliste redactrice,Challenges
Beccu,Pierre,Auteur réalisateur,Bas canal productions
Becherel,Sophie,Journaliste scientifique,France inter
Beck,Christophe,Journaliste,France bleu belfort montbéliard
Bédé,Margaux,Journaliste,Renée prod .
Bedoya Monsalve,Carolina,Journalista,Indépendant
Behr,Charles,Journaliste,Pigiste
Beiner-Molière,Dylan,Journaliste,Science et vie
Belin,Loris,Journaliste,France info
Bellier,Arthur,Étudiant,Esj lille
Bellin,Olivier,Rédacteur en chef,Solution numerique
Bello,Léa,"Journaliste scientifique , vidéaste",Le monde
Benaim,Yaëlle,Réalisateur,Memento production
Benakcha,Maud,"Journaliste , producteur",E louie media et france inter
Benazzouze,Anas,Étudiant,Partisan de votre initiative
Benchabane,Louisa,Journaliste,Indépendant
Benhaiem,Annabel,Journaliste,Collectif extra-muro
Benhammouda,Adam,Étudiant,Ejdg
Benoit,Xavier,Reporter,Le nouvelle republique de centre ouest
Benrhamous,Kenza,Journaliste et charger de production,Alvéole
Berahya-Lazarus,Elvire,Journaliste,Pigiste
Berg,Frederic,Journaliste,Charentelibre
Bergaoui,Jihane,Indépendant,"Radio france , rts"
Beriou,Gwenola,Journaliste,France 3
Berland,Lucile,Journaliste,/
Berlencourt,Clotilde,Secrétaire général de rédaction,Le pèlerin
Bernard,Charlotte,Journaliste,Pigiste collectif w
Berni,Victoria,Indépendant,
Bertea-Granet,Laurence,Co-fondatrice,Eutopique
Berthereau,Jessica,Pigiste,
Berthoud De Castellane,Laëtitia,Directeur de publication,Sillage media
Bertolus,Jean-Jérôme,Journaliste,Free lancer
Bertrand,Morgane,Journaliste,L’ obs
Bertrand,Marie-Noelle,Reporter spécialiser,Indépendant
Bertsch,Marina,Chroniqueuse spécialiser environnement,France 24
Bessard,Muriel,Journaliste,France TV
Besse,Lucille,Journaliste,Sud ouest
Beublet,Nicolas,Journaliste,Climax
Beyrand,Simon,Journaliste,Indépendant
Bichard,Jean Philippe,Rc,Attypique ( avec 2 t )
Bielak,Hélène,Journaliste,"Ouest france , le autre possible , médiacité"
Bienvenu,Hélène,Indépendant,Le monde sur mediapart.fr
Bienvenu,Jeanne,Étudiant,Ecole de journalisme de cannes
Bigot,Laurent,Directeur,Ecole public de journalisme de tour ( epjt – université de tours )
Binet,Hélène,Indépendant,Makesense
Binet,Emile,Rédacteur en chef,Artha news
Binot,Macha,Rédacteur en chef,Respect et # upconf
Bize,Baptiste,Journaliste – directeur départemental adjoint,Le nouvelle république de centre - ouest
Blaes,Caroline,Journaliste à impact,Indépendant
Blanc,Alexandra,Journaliste,Cnews sur canal plus
