id,channel_name,start,duration_minutes,country
f48e555ced0b59dc6016b9ed62e4ca0b630ff98d48ac459c8f3ae0945d81a534,daserste,"February 01, 2025, 12:00 AM",258,germany
3a6fd867f15cafbddc489509576a495b1794633e895ff0f18a48250bb6f1cf25,zdf-neo,"February 01, 2025, 12:00 AM",352,germany
31a2db38f49bd7b3d1689369a409bca7f031f2cab2c2d2c8715d367560651277,rtl-television,"February 01, 2025, 12:00 AM",294,germany
37d6723cd58f3b137045298c8b3dded8563da30df84e979cf27441808c7381ec,sat1,"February 01, 2025, 12:00 AM",222,germany
f015abc528de99458ea833d94cdea466ab0e9c4445727a2d005bca9b2ea4adff,prosieben,"February 01, 2025, 12:00 AM",156,germany
143cfbae72cbf7c634645fe8f0b3dce52c3e95c0d27d01af10210252ec3e67e8,kabel-eins,"February 01, 2025, 12:00 AM",36,germany
cf6d8f980175b1335583bce4a40595eca5886fcaa9ebeaf7611557fc41b6cf21,tf1,"February 01, 2025, 12:00 AM",258,france
6b7e0d69c3111ceb6b9f176f5c3748b5c9d44a898f5c2d9ecc7e3f0a37cb5adf,france2,"February 01, 2025, 12:00 AM",334,france
3b046c77314301e63bef3a4142eb9ac62b48fe52b72602de1ab3d93eb1c5d24b,fr3-idf,"February 01, 2025, 12:00 AM",240,france
b51fe8a6a65b06ead17099a2eac4312b526f76f9b1f256d8d3779c76533a3b6a,m6,"February 01, 2025, 12:00 AM",316,france
9b1ebe8bc77b319560f91fc1c768079ff16e9f01f544b5aad25065d335c5f3f7,arte,"February 01, 2025, 12:00 AM",88,france
6aba0a0299934ed1a3411289a51ccbd11b6d9236ffef2adc8df0d76b003357f0,bfmtv,"February 01, 2025, 12:00 AM","1,030",france
0bb8064e6500c8bc63e9e30f42d21d9ad5322d508f04dd024c1b76956f0d40c4,franceinfotv,"February 01, 2025, 12:00 AM","1,030",france
