Nom,Prénom,Fonction,Média ou organisation
Aballain,Olivier,Directeur des formations au journalisme,ESJ Lille
Abalo,André,JRI,France Télévision
Abbiateci,Jean,Journaliste,
Aboudou,Djamiou,Journaliste,L’Emissaire
Acar,Anne-Lucie,Journaliste,Free-lance
Ackermann,Pierre,COPIL,Demain en mains
Adaoust,Camille,Journaliste spécialisée climat-environnement,Franceinfo.fr
Adoh,Déborah,Journaliste et fondatrice d’Endémik,Endémik
Advocat,Raoul,journaliste,France 3
Aeschimann,Pierre-Eric,Journaliste,L’Obs
Agorram,Laïla,Journaliste,France 3
Aguilar,Hélène,Fondatrice média indépendant doublé d’une association d’intérêt général,Podcast Où est le beau ? * Association pour un design soutenable
Ahamed-Mikidache,Houmi,Journaliste,Era Environnement
Aillerie,Marie,Alterante en journalisme,"76actu, Côté Rouen"
Aiquel,Pablo,Journaliste,La Gazette des communes
Ait Habbouche,Morad,Journaliste,Agence de presse Elle est pas belle la vie
Ajmed Association Des Journalistes Médicaux De La Presse Grand Public,Agnès Duperrin Et Rica Etienne,co présidentes Ajmed,Ajmed
Alavedra-Juncosas,Florence Laetitia,Rédactrice en chef,Feat-y
Albert,Marie,Journaliste,Pigiste
Albertini,Clarisse,Data journaliste,Indépendante
Alduy,Cecile,"Chercheuse, autrice",Stanford University
Alex Morss,Ms,Writer,Alex Morss
Alexandre,Matthieu,"Co-dirigeant, reporter",InTERREviews.fr
Alias,Marc,Journaliste scientifique CP n°94236,Nexus
Allafort,Lê Thi Mai,Rédactrice en chef,La Toque Magazine – NGPA
Allante,Philippe,Réalisateur & documentariste,France Télévisions
Allard,Laure,Étudiante en journalisme,École Du Journalisme de Nice
Allart,Antoine,Journaliste,France 3
Allavoine,Louise,Photojournaliste,Indépendante
Allemand,Sophie,Journaliste (CDD),Radio France
Allimant,Romain,Journaliste,Indépendant
Alméras,Claire,rédatrice en chef adjointe,Famille & éducation
Almonté,Marie,Rédactrice Graphiste,Popi – Bayard Presse
Alvarez,Concepcion,Cheffe de rubrique Transition écologique,Novethic
Amandine,Rossato,Journaliste,Pigiste
Amichaud,Romain,Journaliste,Publihebdos
Amicone,Sylvia,Journaliste,LCI
Andre,Catherine,Directrice éditoriale,Voxeurop
Angel,Marina,journaliste pigiste,"L’Usine Nouvelle, L’Usine Digitale, Industrie & Technologies"
Apaloo,Julien,Journaliste reporter d’images,BFMTV
Arassus,Romane,Alternante,Medtronic
Argelas,Milan,Journaliste,BFMTV
Arnould,Marie,Rédactrice en chef,Les 4 Saisons
Aronson,David,Ecrivain,Free-lance
Artaud,Violette,Journaliste,Marsactu
Arutunian,Sophie,Responsable pédagogique en école de journalisme,Iscpa Toulouse
Ascensio,Amandine,Journaliste pigiste,"Afp, Figaro, Mediapart, etc…"
Ascher,David,Directeur de publication,Actu-Environnement
Assunta,Corbo,Journaliste,News48.it
Astier,Marie,Journaliste,Reporterre
Astruc,Lionel,journaliste et écrivain,Indépendant
Attal,Debora,Journaliste & Fondatrice de Refyld,REFYLD
Aubron,Laurence,Directrice,"Euradio, la radio européenne des territoires"
Audije,Paco,Journaliste et correspondant,https://periodistas-es.com/ l’Humanité magazine /
Auditeau,Pascale,Journaliste,La République du Centre
Auffray,Élodie,Journaliste,Pigiste
Augier,Rodolphe,journaliste rédacteur et reporteur d’images,France télévisions
Augry,Marie Laure,Journaliste,Journalisme et Citoyenneté
Aulnette,Clément,Journaliste,Pigiste
Autran,Julien,Rédacteur Graphiste,Phosphore et We Demain 100% ado
Autret,Nolwenn,Journaliste,RFI
Aveline,Marie-Laure,Journaliste,La Nouvelle République du Centre-Ouest
Avon,Simon,Etudiant,Ecole de Journalisme de Grenoble
Avril,Annabelle,Photographe,Vivant le media
Azouvi,Cyril,Reporter,Ça m’intéresse
Ba,Amadou,Journaliste,INNOVAFRICA.COM
Babin-Chevaye,Carole,auteure et facilitatrice,mondedespossibles.today
Bachelot,Manon,Journaliste réalisatrice,
Bachiri Wadimoff,Léo,Journaliste,RTS (Radio Télévision Suisse)
Badets,Véronique,cheffe de rubrique Envrionnement,Le Pèlerin
Badia,Thomas Diego,Réalisateur,Free-lance
Baïetto,Thomas,Journaliste,franceinfo.fr
Bailly,David,journaliste rédacteur,France 3
Balao,Kossi Elom,Président,Réseau des Journalistes Scientifiques d’Afrique Francophone
Balcaen,Colombine,Etudiante en M2 Climat et Médias,
Baldos,Raphaël,Journaliste,
Ballot,Nicolas,Rédacteur en chef,Syndicalisme Hebdo et CFDT Magazine
Balluffier,Asia,Journaliste,Le Monde
Baltus,Margaux,Journaliste,France TV
Bambanayo Wandja,Gratius,Journaliste,Journal Le Baromètre
Bannier,Hélène,Coordinatrice de rédaction,Vivant le média
Bannier,Laura,Journaliste,Luxemburger Wort
Barbès,Pascale,Journaliste,France 3
Barde,Constance,Co-fondatrice,nouvel air studio
Bardou,Florian,Rédacteur reporter,Libération
Barette,Christophe,Journaliste,Pigiste
