Nom,Prénom,Fonction,Média ou organisation
Baritello,Sonia,Journaliste,France 24
Barnéoud,Lise,Pigiste,Le Monde / Mediapart / Science et Vie Junior / Cité des Sciences…
Baron,Catherine,Rédactrice traductrice,Courrier International
Barra,Muriel,Fondatrice / Productrice,LATO SENSU Productions
Barraud,Clément,Journaliste,Le Sans-Culotte
Barreyre,Christophe,Réalisateur,Free lance
Barroux,Rémi,journaliste,Le Monde
Barth,Anaïs,Journaliste Environnement,TF1
Barthelemy,Simon,Journaliste,Rue89 Bordeaux / La Croix
Barthes,Romain,Directeur de la rédaction,WebToulousain.fr
Barthez,Nancy,Rédactrice en chef,VMôme
Bartoli,Eloïse,Journaliste apprentie,Franceinfo.fr
Bascou,Stéphanie,Journaliste indépendante,Plusieurs médias économiques (dont Pour l’Eco)
Bastide,Lauren,Journaliste,La Poudre
Bataillon,Stéphane,Grand reporter,La Croix
Batard,Patrick,Photographe,Indépendant
Baudoux,Nicolas,Journaliste multimédia,L’Echo
Baudry,Martin,Étudiant en journalisme,École de journalisme de Grenoble
Bauzon,Jérôme,Coordinateur rédaction,RCF Pays d’Aude
Bayol,Rémi,Journaliste en apprentissage,XXI et La Revue Dessinée
Beaudonnet,François,Rédacteur en chef de la rédaction européenne,"France Télévisions (France 2, France 3, France Info)"
Beaujon,Agathe,Journaliste redactrice,Challenges
Beccu,Pierre,auteur réalisateur,Bas Canal Productions
Becherel,Sophie,Journaliste scientifique,France Inter
Beck,Christophe,Journaliste,France Bleu Belfort Montbéliard
Bédé,Margaux,Journaliste,Renée Prod.
Bedoya Monsalve,Carolina,Journalista,Independiente
Behr,Charles,Journaliste,pigiste
Beiner-Molière,Dylan,Journaliste,Science et Vie
Belin,Loris,Journaliste,"Franceinfo, Eurosport"
Bellier,Arthur,Étudiant en journalisme,ESJ Lille
Bellin,Olivier,Rédacteur en chef,Solutions Numeriques
Bello,Léa,"Journaliste scientifique, vidéaste",Le Monde
Benaim,Yaëlle,Journaliste réalisatrice,Memento Productions
Benakcha,Maud,"Journaliste, productrice",Ex Louie Media et France Inter
Benazzouze,Anas,Étudiant en licence de chimie (2ème année),Partisan de votre initiative
Benchabane,Louisa,Journaliste,Indépendante
Benhaiem,Annabel,Journaliste,Collectif Extra-Muros
Benhammouda,Adam,"Correspondant de presse le progrès Saint Étienne, étudiant en journalisme à l’EJDG",EJDG
Benoit,Xavier,Reporter,La Nouvelle Republique du centre ouest
Benrhamous,Kenza,Journaliste et chargée de production,Alvéole
Berahya-Lazarus,Elvire,Journaliste,Pigiste
Berg,Frederic,Journaliste,CharenteLibre
Bergaoui,Jihane,Journaliste indépendante,"Radio France, RTS"
Beriou,Gwenola,Journaliste,France 3
Berland,Lucile,Journaliste,/
Berlencourt,Clotilde,Secrétaire Générale de Rédaction,Le Pèlerin
Bernard,Charlotte,Journaliste,Pigiste collectif W
Berni,Victoria,Journaliste indépendante,
Bertea-Granet,Laurence,Co-fondatrice,EUTOPIQUE
Berthereau,Jessica,journaliste pigiste,
Berthoud De Castellane,Laëtitia,Directrice de publication,Sillage media
Bertolus,Jean-Jérôme,Journaliste,Free lance
Bertrand,Morgane,Journaliste,L’Obs
Bertrand,Marie-Noelle,Journaliste reporter spécialisée,Independante
Bertsch,Marina,Chroniqueuse spécialisée environnement,France 24
Bessard,Muriel,Journaliste,France Télévisions
Besse,Lucille,Journaliste,Sud Ouest
Beublet,Nicolas,Journaliste,Climax
Beyrand,Simon,Journaliste,Indépendant
Bichard,Jean Philippe,RC,Attypique (avec 2 t)
Bielak,Hélène,Journaliste,"Ouest France, Les Autres Possibles, Médiacités"
Bienvenu,Hélène,Journaliste indépendante,Le Monde / Mediapart.fr
Bienvenu,Jeanne,Etudiante,Ecole de journalisme de Cannes
Bigot,Laurent,Directeur,Ecole publique de journalisme de Tours (EPJT – Université de Tours)
Binet,Hélène,Directrice de la communication / Journaliste indépendante,makesense
Binet,Emile,Rédacteur en chef,Artha News
Binot,Macha,Rédactrice en chef,respect et #UPConf
Bize,Baptiste,Journaliste – Directeur départemental adjoint,La Nouvelle République du Centre-Ouest
Blaes,Caroline,Journaliste à Impact,Indépendante
Blanc,Alexandra,Journaliste,CNews / canal +
Blanchard,Pauline,Fondatrice et rédactrice en chef,Grain magazine
Blanchard,Dominique,Enseignant Télévision ESJ Paris,Ex TF1 ex LCI
Blanchardon,Marie,Journaliste,Pigiste Aujourd’hui en France/Le Parisien
Blanchart,Jérome,Rédacteur en chef,Science & Vie Junior
Blanche,Olivier,PDG,TERRE VIVANTE
Blanquet,Gessy,Journaliste,Guadeloupe la 1ere
Blorville,Gwenhaël,YouTubeur,L’Actu qui Chauffe
Blosseville,Thomas,Journaliste pigiste,Indépendant
Bluteau,Lili,Etudiante,Esj cannes
Bobin,David,Journaliste reporter,Indépendant
Bocquet,Sylvie,Rédactrice en chef,Famille&Education
Bodrero,Martin,Journaliste,Radio Parleur
Boehly,Audrey,Journaliste,Indépendante
Boeuf,Nicolas,Datajournaliste,Indépendant
Boileau,Celine,Journaliste,Free-lance
Boisseleau,Océane,Étudiante,École de journalisme à Cannes
Boisvert,Clotilde,journaliste,JNE
Bolis,Angela,Journaliste environnement,indépendante
Bolle,Simon,Reporter,L’Equipe
Bonfils,Antoine,Président,JNE – Journalistes écrivains pour la Nature et l’Ecologie
Bonnebas,Violette,Journaliste,Freelance
Bonnéry,Margot,Journaliste,L’Humanité
Bonnet,Richard,Journaliste,Arte
Bonnet,Philippe,Reporter,NRCO
Bonnevialle-Chesneau,Sophie,Responsable éditoriale,International center for journalists/IJNet en français
Bono,Bastien,Journaliste,Jara Prod / France 5
Bonte,Arièle,Journaliste,POSITIVR
Bontemps,Louis,Photographe indépendant,
Boone,Danièle,Journaliste presse écrite et radio,
Bope Ngoloshanga,Adonis,Coordonnateur National,RCP/Médias Kinshasa
Boquen,Manon,Rédactrice en chef,Pays
Bordes,Isabelle,Journaliste,pigiste
Borgia,Gaëlle,Correspondante free-lance à Madagascar,"France 24, TV5 Monde, AFP, Arte"
Boscher,Marie,Journaliste,Outre-mer la 1ère
Bossy,Delphine,Journaliste,Les nouvelles calédoniennes
Bouaziz,Anne,Journaliste,Actu.fr
Boubetra,Nora,Journaliste grand reporter,France Télévisions (France 3/France2)
Bouchage,Marc,Journaliste,Journaliste pigiste
Bouchard-Paul,Carolyn,Journaliste,Riviera city guide
Boucher,Sandrine,journaliste et autrice BD,agence des ours
Boucher,Julie,Journaliste indépendante,Upgreen.tv et France Dimanche (nature)
Boudaka,Yasmine,Journaliste coordinatrice,NEW6S
Boudard,Lauren,"Journaliste, cofondatrice",Climax
Boudet,Charles-Henry,Présentateur – journaliste,France Télévisions
Boudot,Martin,Journaliste / Réalisateur de documentaires,Premières Lignes
Boughriet,Rachida,Journaliste,Actu-Environnement
Bougrain Dubourg,Allain,Journaliste,"RTL,Charlie Hebdo, oiseau mag…"
Bouhours,Damien,Directeur éditorial,lepetitjournal.com
Boujot,Julien,Rédacteur,La Lettre Pro de la Radio
Bouland,Jean-Luc,Responsable de la rédaction,Naturisme Magazine
Boulanger,Vincent,Rédacteur en chef,Observ’ER
Bounafaa,Myriam,Journaliste,France Televisions
Bouniol,Jean-Charles,Enseignant,Ijba / Université Bordeaux Montaigne
Bouquet,Odin,Étudiant,Bde
Bour,Camille,Journaliste,Indépendante
Bourahla-Farine,Agnès,Journaliste,Indépendante
Bourdet,Isabelle,Directrice,PRESS CLUB DE FRANCE
Bourdier,Maxime,Journaliste,
Bourelle,Hélène,Journaliste,indépendante
Bourgeois,Maeva,Rédactrice en chef,Biodynamis
Bourgeteau,Sylviane,journaliste retraitée,Collaboratrice Radio Bastides (radio citoyenne – 47)
Bourgneuf,Cécile,Journaliste,Libération
Bourrieau,Théo,Journaliste,Pigiste
Boursicot,Frédérique,Journaliste scientifique,Indépendante
Bousquet,Céline,journaliste,Oxytanie
Boutheloup,Estelle,Journaliste / Pigiste,"MagCentre – Le Monde du Camping Car Magazine, Les clés de la transition énergétique, Le Journal du photovolataïque, Le Journal des énergies renouvelables"
Bouvier,Jérôme,Président,Journalisme et Citoyenneté
Boyavalle,Isabelle,Journaliste et formatrice au cfpj,CFPJ
Boyer,Paul,Journaliste,Pigiste
Boyer,Paul,Journaliste,Pigiste
Bozon,Baptiste,Journaliste,Ecole de Journalisme de Cannes
Brand,Adélie,Journaliste,notélé
Branquart,Victor,Journaliste,We Demain / Revue UT!LE
Bras,Anne-Cécile,Journaliste,RFI
Brault,Pauline,Journaliste,Le HuffPost
Braun,Sarah,JOURNALISTE,INDÉPENDANTE
Brayard,Marceau,Photographe & Chroniqueur,Culture Jazz
Breil,Étienne,Journaliste reporter,Boites de prod
Brémeau,Marie,Journaliste,Public Sénat
Breton,Agnès,Secrétaire de rédaction,Actu-Environnement
Breton,Alexis,journaliste,Nova Production
Bria,Sophie,Journaliste météo,France Info
Bridard,Valérie,Journaliste,Indépendante
Brière De La Hosseraye,Marie,Journaliste,Universcience/LeBlob.fr
Brillaud,Rafaële,"Journaliste et responsable pédagogique, en charge du master journalisme de science",ESJ Lille
Brisson,Emmanuelle,Journaliste radio,Sud Radio
Bron,Gwenaëlle,Journaliste,France 3
Bruneau,Suzanne,Journaliste,Indépendante
Brunerie,Stéphane,Directeur de la Publication,StripFood
Brunet,Olivier,Rédacteur en chef,ToutSurMesFinances.com
Brunet,Stella,Journaliste,Le Réveil du Vivarais
Brunet-Rivaillon,Hélène,Journaliste,Pigiste
Brunon,Damien,Journaliste et Responsable pédagogique,ESJ Lille
Bruzat,Eloïse,Journaliste rédactrice,France 3 Centre-Val de Loire
Bucher,Nell,Etudiante,Pas en particulier
Buisson,Tim,Journaliste,Le Dauphiné Libéré
Burckel,Claire,Journaliste,Journal Sud Ouest
Burel,Anouk,Realisatrice,Indépendante
Bury,Véronique,Journaliste et photographe indépendante,Journaliste et photographe indépendante
Busché,Christophe,Enseignant,Centre Universitaire d’enseignement du journalisme de Strasbourg
Cabiran,Adrien,Président,Association MEDIA (Radio PFM 99.9)
Cacheux,Valentin,Journaliste,France 24
Caddeo,Cyprien,Journaliste rédacteur,L’Humanité
Cahen,Nathania,Rédactrice en chef,Marcelle média
Caillard,Damien,Responsable éditorial,Tikographie
Caillaud,Olivier,Journaliste / producteur de voyages,TV5MONDE / AR Magazine Voyageur
Cailton,Myriam,Rédactrice,MC RÉDACTION
Cailton,Myriam,Rédactrice indépendante,MC Rédaction
Califano,Benoit,Directeur,ESJ Pro Campus – École supérieure de journalisme de Montpellier
Callant,Alex,Etudiant en journalisme,EJDG
Campion,Juliette,journaliste,franceinfo.fr
Camus,Isabelle,Fondatrice et rédactrice en cheffe,https://jugeote.media/
Canal,Jean,Rédacteur de la publication,presselibre.fr
Canonne,Justine,Journaliste rédactrice,A la pige
Cantaloube Massias,Nathalie,Direction artistique,Pyrénées Magazine
Capra-Brocard,Rémi,Etudiant,Ecole de Journalisme de Cannes
Carage,Thibaut,Journaliste,Dauphiné Libéré
Caranta,Matteo,Journaliste / Producteur,France Culture
Carasco,Aude,Cheffe rubrique médias,La Croix
Cardon,Samuel,Étudiant en M2 journalisme,IJBA
Cardona,Francois,JOURNALISTE,PREMIÈRES LIGNES
Cariou,Tom,Journaliste pigiste,Indépendant
Carla,Peyrat,Journaliste,L’ADN
Carlo,Anne Lise,Journaliste,Indépendante
Carlos,Guardingo Salvadó,Jubilado,Nuestro planeta
Carof-Gadel,Marie,Journaliste,Ouest-France
Caron,Gilberte,Dir,Fil rouge
Carpentier,Arthur,Journaliste – Investigation vidéo,Le Monde
Carriere,Alienor,Journaliste-réalisatrice,Arte
Cartayrade,Etienne,Journaliste,Ouest-France
Caruge,Bertrand,Grand reporteur,France Télévisions/Martinique la 1ère
Carvalho,Nicolas,Journaliste,France Info TV
Castagna,Mathilde,Journaliste,Agefi Actifs
Castaingts,Florie,Journaliste,Francetv
Castellet,Antoine,Journaliste,
Castro,Karine,Présidente,Institut de la Gastronomie Végétale
Catalifaud,Charlène,Journaliste,Le Quotidien du Médecin
Cattin,Catherine,journaliste,indépendante
Cauchie,Charline,Journaliste,(freelance)
Cayuela,Sophie,Journaliste,Natura Sciences
Cazabet,Lilian,Photojournaliste,Hans Lucas
Cazé,Eiman,Journaliste,Indépendant
Cazenave,Cécile,journaliste,indépendante
Cazorla,Aude,Étudiante en Journalisme,IJBA (école de journalisme de Bordeaux)
Celnik,Nicolas,Journaliste,Libération (pigiste)
Cerqueira,Dylan,Administrateur,44 Pieds dans le PAF
Cerqueira,Sandra,Journaliste,Public Sénat
Cerqueira,Elodie,Journaliste,Pigiste
Certes,Nicolas,Datajournaliste,Centre France
Cessieux,Baptiste,Journaliste,Pigiste
Chaillou,Aurore,Journaliste,pigiste
Chailloux,Marine,Journaliste Reporter et conseillère municipale EELV d’Argenteuil,Radio France
Chakraverty,Clea,Cheffe de rubrique Politique et Société,The Conversation France
Chambaud,Pierre,Journaliste multimédia,La Montagne à Aurillac
Champagne,Antoine,Rédacteur en chef,Reflets.info
Champagne,Hélène,Directrice de Projets,Deutsche Welle Akademie
Chansel,Julie,Journaliste,Collectif Tu Piges
Chao,Antoine,Reporter- documentariste,Radio France
Chapalain,Juliette,Journaliste réalisatrice,BBC
Chapelle,Sophie,Journaliste,basta!
Chaput-Morin,Janlou,Journaliste localier,La Nouvelle République
Charles,Hélène,Anonyme,Demain en mains
Chartier,Martine,journaliste,Profession Recycleur
Chatal,Hinatea,Journaliste météo environnement,
Chaumette,Lucie,Journaliste,FranceinfoTV
Chaurand,Violaine,Directrice de la RSE,Bayard
Chaux,Loic,Directeur de publication,Le Tangue
Chaze,Emmanuelle,Correspondante,"Deutsche Welle, France24"
Checinsku,Hugo,Coordinateur de redaction,Radio campus angers
Cheissoux,Denis,Producteur de radio,France Inter
Chemla,Stephanie,Pigiste,Horizons publics
Chenantais,Aude,Journaliste,Freelance
Chérel Mariné,Yann,Journaliste,Mediatico
Cheron,Anne-Charlotte,Fondatrice de média & d’une agence de communication dédiée à l’intérêt général et au vivant.,L’herbier parisien
Chesnay,Jean-François,Journaliste,Indépendant
Chesnel,Sandrine,Journaliste,Indépendante
Chevallier,Cécile,Journaliste,Le Parisien Essonne
Chignac,Camille,Journaliste,France 3 Nouvelle Aquitaine
Chilard,Anne-Sophie,Chef de rubrique,J’aime Lire
Chirol,Anne,Journaliste,"pigiste (Le Monde, Slate)"
Chouraqui,Nina,Etudiante en journalisme,Magazin
Christinat,Sanna,individuelle,individuelle
Christophe,Pierre,Journaliste,Indépendant
Ciaravola,Lucas,"Rédacteur bénévole, adhérent",Humeco
Cimelière,Olivier,Consultant,Le Blog du Communicant
Cinier,Valentine,Fondatrice / rédactrice en cheffe,GUIDE PAPIER
Cintas,Estelle,Chef de service,Parents
Ciolfi,Marie,Rédactrice en chef adjointe,LesNumeriques.com
Cittone,Jean,Journaliste,Le Figaro
Civard-Racinais,Alexandrine,JOURNALISTE ET AUTRICE,CURIEUX!
Clapeau,François,Journaliste,France 3 Nouvelle Aquitaine
Clarke,Elliot,Journaliste indépendant,Le vote blanc
Claude,Carine,Rédactrice en chef,AMA magazine
Clauzard,Pavel,Journaliste sportif,Le 11 Hauts de France
Clavey,Martin,Journaliste scientifique,pigiste
Clément,Lauriane,Journaliste,Phosphore
Clesse,Jeane,Podcasteuse,BASILIC
Clévenot,Emmanuel,Journaliste,Reporterre
Cloarec,Gaëlle,Journaliste,Indépendante
Clouzard,Gael,Redacteur en chef,goodd.fr
Clouzeau,Grégoire,Fondateur et Directeur,La Tribune libre de Bleau et Cie Tl2b
Club De La Presse De Bretagne,Nan,Coprésidents,
Cluzeau,Philippe,Directeur,Maison pour la science en Aquitaine
Codet-Boisse,Martial,Journaliste rédacteur,France 3
Codron,Joséphine,Pigiste,Indépendante
Cogneau,Gilles,Directeur communication et fundraising,Natagora
Cohen,Chloé,Journaliste indépendante,Podcast Nouveau Modèle
Cohen De Timary,Olivier,Directeur de la publication,Socialter
Coiffard,Pauline,Journaliste,France télévisions
Coignac,Anaïs,Pigiste,Indépendante
Coignard,Hugo,Journaliste,Indépendant
Cojean,Thibaut,Rédacteur en chef adjoint,L’Etudiant
Colaci,Emanuela,Journaliste,Indépendant
Colet,Bruno,formateur-animateur,Lire et écrire
Colin,Elise,Journaliste,Le Progrès
Colle,Marie-Emilie,Journaliste,Magazine Image & Nature
Collectif Les Incorrigibles,Collectif Les Incorrigibles,Collectif de journalistes pigistes,Collectif de journalistes pigistes
Collectif presse-Papiers,Nan,Collectif de pigistes basés à Marseille,
Collectif Tu Piges,Collectif Tu Piges,journalistes,Collectif Tu Piges
Collet,Philipp,Journaliste,Actu-Environnement
Collet,Laurence,Journaliste,France 3
Colombel,Mary,Journaliste,Indépendante
Colson,Sébastien,Rédacteur,Le Dauphiné Libéré
Combalat,Victor,Etudiant en Journalisme,Ecole de Journalisme de Cannes
Combalbert,Nicolas,Réalisateur et producteur,Films du Texmex
Combe,Matthieu,Directeur de la publication,Natura Sciences
Compère,Sylvain,Journaliste,Le Populaire du Centre
Conchon,Maxime,Étudiant en journalisme,École de journalisme de Cannes
Condé,Fanta,Pigiste,RFI Mandenkan
Conquet,Emma,Journaliste,Pigiste
Conscience,Théo,Correspondant en Argentine,RFI
Cordani,Claudine,Directrice de la rédaction,Les Cent Plumes
Cordier,Claude,Journaliste honoraire,Ancien président CCIJP
Cordroc’h,Solenn,Journaliste,Pigiste
Coromines,Laure,Journaliste,L’ADN
Coromines,Laure,Journaliste,L’ADN
Costes,Fanny,Journaliste rédactrice,Indépendante
Couderc,Ervan,Journaliste,Nord Littoral
Coulange,Arthur,journaliste,Enseigne et Sites
Coulaud,Aurore,Journaliste Environnement,Libération
Coulombe,Pascal,Informaticien,Gezzâ
Coupez,Edwige,Journaliste,Indépendante
Couturier,Cécile,Journaliste indépendante,"Presse magazine vulgarisation scientifique (Science & vie Junior, Salamandre Junior, etc.)"
Couve,Philippe,Directeur organisme de formation,Samsa.fr
Couzy,Marine,Secrétaire de rédaction,Ça m’intéresse
Crahay,Jérôme,Journaliste,Notélé
Crequer,Tudi,Journaliste,Dispak
Crézé,Tiphaine,Journaliste,Le Chantier
Crocq,Matthieu,éditeur web,60 Millions de consommateurs
Croisé,Nathalie,Journaliste,Carbone Zéro La Radio-The Good
Cros,Philippe,Chef de rédaction,La République du centre
Cros,Lola,Journaliste indépendante,Finta! le podcast
Cros,Lola,Journaliste indépendante,Finta! le podcast
Crosnier,Camille,Journaliste,France Inter
Crozat,Laure,Journaliste,France 3
Crozet,Dimitri,Chef de rédaction,La République du Centre
Culat,Aurélien,Journaliste free-lance,La Vie / Oui ! Le magazine / Radio Ballade / RCF Pays d’Aude
Curtil,Gautier,Directeur de l offre NOWU,France Tv
Curty,Thierry,Co-Président,Courant Constructif
Cuvier,Frederic,Responsable d’édiion,France 3 Bourgogne Franche-Comté
Cuxac,Anna,Rédactrice en chef de Causette.fr,Causette
Cygler,Clément,rédacteur en chef,Energie Plus
D’allard,Marion,Journaliste,L’Humanité
D’almeida,Laure,Journaliste,Indépendante
D’imperio,Alexandra D’imperio,Journaliste scientifique,Indépendante
D’ancona,Laurent,Journaliste,La Provence
Da Costa,Sophie,Rédactrice en chef,CFNEWS IMMO
Dagorn,Gary,Journaliste,Le Monde
Dambax,Léa,chargée de projet RSE / Développement durable,Étudiante en Master Management de Projet en Environnement spécialité RSE
Dana,Marc,Grand Reporter,France Télévisions
Dana,Jean-Yves,Rédacteur en chef,Okapi
Dang,Léa,Journaliste,Socialter
Daniel,Edouard,Journaliste rédacteur,La Nouvelle République
Danjon,Alexis,Reporter,L’Equipe
Danjou,Quentin,JRI,TF1
Dao,Linh-Lan,Journaliste,Franceinfo tv
Daoust,Antoine,Rédacteur en chef,Fact & Furious
Darbouret,Aurélie,Journaliste,indépendante
Darengosse,Gaelle,Journaliste redactrice,F3 idf
Darrault,Lisa,Journaliste,Cré-sol
Darrigrand,Alain,Journaliste rédacteur et Jri,France Télévisions
Darrrault,David,Photographe,Independant
Dasinieres,Laure,Journaliste,Indépendante
Dauchez,Florence,Présidente,Visible
Daude,Matthieu,Ingénieur du son,Free lance
Dauvergne,Géraldine,Journaliste,L’Argus de l’assurance
David,Frédéric,Fondateur & Coordinateur de Demain-Vendée,Demain-Vendée
David,Pascaline,Journaliste,Freelance
De Boni,Marc,Journaliste – Auteur,Indépendant
De Butler,Benoît,Journaliste TV,France Télévisions
De Coppet,Catherine,Rédactrice en chef adjointe,Revue XXI
De Crécy,Alix,Indépendante,Mediavivant
De Fréminville,Solange,Journaliste,Journaliste free-lance
De Lambilly,Joséphine,Journaliste,Na
De Loof,Celia,Étudiante,/
De Mondenard,Béatrice,Secrétaire de rédaction,Cahiers pédagogiques
De Monès,François,Journaliste,La Disparition
De Montmagner,Christian,Journaliste,Association des Journalistes de Toulouse et sa région (AJT-r)
De Montmagner,Christian,Président,AJT-r : Association des Journalistes de Toulouse et sa région
De Mori,Géraldine,Chef du service météo,RMC
De Muylder,Valentine,Journaliste,Indépendante
De Nale,Marc,Directeur Général,Demain la Terre
De Oliveira,Romain,Journaliste indépendant,TV7 Bordeaux
De Quina,Audrey,Étudiante en école de journalisme,"École de journalisme de Cannes, IUT Nice Côte d’Azur"
De Seze,Cécile,Journaliste,20 Minutes
De Sousa,Carlos,Journaliste,Le Dauphiné Libéré
Deb,Chaymaa,Rédactrice en chef,Natura Sciences
Debesse,Laurent,Rédacteur en chef adjoint – Présentateur,France Télévisions
Debove,Laurie,Rédactrice-en-chef,La Relève et La Peste
Décarre,Héloïse,Journaliste pigiste,"Radio France, L’Eclaireur FNAC"
Decaux,Sébastien,Météorologue,Météo-Bretagne/Météo-Concept
Decenciere,David,Étudiant,Insa Strasbourg
Decharme,Baptiste,Journaliste,La Nouvelle République du Centre-Ouest
Deffrennes,Geoffroy,JOURNALISE,ESJ LILLE
Deiss,Jérôme,Chef de projet,France Télévisions
Dekegeleer,Gwenaëlle,Journaliste,RTBF
Delâge,Frédéric,Journaliste,La Nouvelle République du Centre Ouest
Delbecq,Denis,Journaliste,Indépendant
Delbecq,Angèle,Pigiste,LCI
Delbos,Camille,"Producteur multimédia, photographe et vidéaste documentaire",Camille Delbos Production
Delcourt,Alexis,Journaliste,France TV National
Deleu,Christophe,Directeur Cuej,Cuej
Delevoye,Vanessa,Rédactrice en chef,Urbis le mag
Delicque,Arthur,Journaliste Outdoor,Grimper Magazine / Les Others / Sphères Magazine / Revue Pays / Montagnes Magazine / Vertical
Dellangnol,Clémence,Journaliste,
Dellus,Sylvie,Journaliste,Santé magazine/SNJ
Delmas,Vanina,Journaliste – cheffe de rubrique Ecologie,Politis
Delmas,Aurelie,Journaliste,Vert
Delmolino,Alexandra,Journaliste pigiste,Pigiste
Delorme,Claire,Journaliste météo,CNews / RTL
