,index,videoId,title,channelId,channel,description,publication_date,duration,view_count,like_count,comment_count,tags
0,"PODCAST. L’Amazonie, symbole de l’avenir du Brésil - L'Express",xow73q2uTWY,"PODCAST. L’Amazonie, symbole de l’avenir du Brésil",UCp2kK3DyhpgFOdILF3BBC9A,L'Express,"Déforestation, crime organisé, violation des droits des amérindiens… L’Amazonie, c’est le symbole de la politique de Jair Bolsonaro à la tête du Brésil. Et surtout l’un des défis de Lula, de retour au pouvoir dans un pays totalement divisé.

Dans ce nouvel épisode de La Loupe, Xavier Yvon nous explique comment le ""président des pauvres"" veut détricoter tout ce qu’a fait son prédécesseur, alors que l’ombre de Bolsonaro plane sur son mandat avec Chantal Rayes, correspondante de L’Express au Brésil, et Charles Carrasco, chef des infos et ancien correspondant à Rio.

#amazonie #bresil #brazil #podcast 
__________________________________ 

S’abonner à la chaîne : https://bit.ly/2P99bfL 
Télécharger l'application : https://app.adjust.com/ulautn_ww4r6b
Facebook : https://www.facebook.com/LExpress 
Instagram : https://www.instagram.com/lexpressfr/
Linkedin : https://www.linkedin.com/company/lexpress/",2023-01-23T17:00:38Z,PT20M33S,20,1,0,"[""l'express"", ""l'express vidéo"", 'express vidéo', 'express actualité']"
1,Le pessimisme aurait-il une origine génétique ? - L'Express,A43DS6Dp-kg,Le pessimisme aurait-il une origine génétique ?,UCp2kK3DyhpgFOdILF3BBC9A,L'Express,"🧬 Le pessimisme a-t-il une origine génétique ? La réponse est dans cette vidéo, avec le psychologue et généticien américain Robert Plomin.

Mais ce n’est pas la seule piste que nous avons exploré pour comprendre d’où venait cette tendance française à voir le verre à moitié vide. La suite ici : https://miniurl.be/r-4cwf

#sciences #genetique #france 
__________________________________ 

S’abonner à la chaîne : https://bit.ly/2P99bfL 
Télécharger l'application : https://app.adjust.com/ulautn_ww4r6b
Facebook : https://www.facebook.com/LExpress 
Instagram : https://www.instagram.com/lexpressfr/
Linkedin : https://www.linkedin.com/company/lexpress/",2023-01-20T17:00:10Z,PT51S,123,1,0,"[""l'express"", ""l'express vidéo"", 'express vidéo', 'express actualité']"
2,"En Europe, le retour des centrales à charbon - L'Express",Cz4PCIcqCLI,"En Europe, le retour des centrales à charbon",UCp2kK3DyhpgFOdILF3BBC9A,L'Express,"Depuis 2020, l'énergie fossile la plus polluante de la planète repart à la hausse en Europe. Et la tendance s'accélère depuis l'année dernière. Explications.

Avec l'intervention de Flora Champenois, chercheuse au Global Energy Monitor.

#climat #charbon #energie #environnement #europe 
__________________________________ 

S’abonner à la chaîne : https://bit.ly/2P99bfL 
Télécharger l'application : https://app.adjust.com/ulautn_ww4r6b
Facebook : https://www.facebook.com/LExpress 
Instagram : https://www.instagram.com/lexpressfr/
Linkedin : https://www.linkedin.com/company/lexpress/",2023-01-18T16:00:06Z,PT3M22S,596,14,0,"[""l'express"", ""l'express vidéo"", 'express vidéo', 'express actualité']"
3,PODCAST. Le jour où la science permettra de baisser le thermostat du monde - L'Express,MstY8gxksO8,PODCAST. Le jour où la science permettra de baisser le thermostat du monde,UCp2kK3DyhpgFOdILF3BBC9A,L'Express,"“Refroidir” la planète grâce à des particules capables de renvoyer une partie de la chaleur solaire dans l’atmosphère ? L’idée vous paraît peut-être totalement farfelue, mais elle est développée aux Etats-Unis, avec un objectif : contrôler un jour le thermostat mondial… Au risque de bouleverser les équilibres géopolitiques.

Dans cet épisode de La Loupe, Xavier Yvon explique les enjeux scientifiques et géopolitiques autour du refroidissement de la planète avec Sébastien Julian, journaliste au service Sciences de L’Express.

#sciences #climat #ecologie 

__________________________________ 

S’abonner à la chaîne : https://bit.ly/2P99bfL 
Télécharger l'application : https://app.adjust.com/ulautn_ww4r6b
Facebook : https://www.facebook.com/LExpress 
Instagram : https://www.instagram.com/lexpressfr/
Linkedin : https://www.linkedin.com/company/lexpress/",2023-01-16T17:00:23Z,PT16M49S,103,3,1,"[""l'express"", ""l'express vidéo"", 'express vidéo', 'express actualité']"
4,En immersion avec l'armée de Terre française - L'Express,HXUdAlcIlDk,En immersion avec l'armée de Terre française,UCp2kK3DyhpgFOdILF3BBC9A,L'Express,"Nous avons pu suivre en exclusivité un exercice militaire conjoint de l'armée de Terre française et belge. Objectif : se préparer à un déploiement sur une base de l'Otan en Roumanie, à quelques centaines de kilomètres de l'Ukraine, qui repousse l'agression russe depuis bientôt un an. 





#armee #militaire #otan #guerre #ukraine #russie 

__________________________________ 

S’abonner à la chaîne : https://bit.ly/2P99bfL 
Télécharger l'application : https://app.adjust.com/ulautn_ww4r6b
Facebook : https://www.facebook.com/LExpress 
Instagram : https://www.instagram.com/lexpressfr/
Linkedin : https://www.linkedin.com/company/lexpress/",2023-01-15T15:45:28Z,PT4M55S,35718,483,75,"[""l'express"", ""l'express vidéo"", 'express vidéo', 'express actualité']"
5,La France est le pays le plus pessimiste au monde - L'Express,HajEC-WIBkA,La France est le pays le plus pessimiste au monde,UCp2kK3DyhpgFOdILF3BBC9A,L'Express,"Ce n'est pas une légende : les Français sont les plus pessimistes au monde. Et ça n'est pas allé en s'améliorant après la campagne présidentielle. 

On fait le point avec Frédéric Dabi, sondeur à l’Ifop.

#France #societe #politique 
__________________________________ 

S’abonner à la chaîne : https://bit.ly/2P99bfL 
Télécharger l'application : https://app.adjust.com/ulautn_ww4r6b
Facebook : https://www.facebook.com/LExpress 
Instagram : https://www.instagram.com/lexpressfr/
Linkedin : https://www.linkedin.com/company/lexpress/",2023-01-13T17:00:20Z,PT56S,2086,29,1,"[""l'express"", ""l'express vidéo"", 'express vidéo', 'express actualité']"
6,Affaire Mediator : 88 médicaments à risque encore sur le marché ? - L'Express,QqlAj7juq60,Affaire Mediator : 88 médicaments à risque encore sur le marché ?,UCp2kK3DyhpgFOdILF3BBC9A,L'Express,"L'affaire Mediator revient devant les tribunaux. Le procès en appel, qui a démarré ce lundi 9 janvier, est prévu pour durer six mois. 

À cette occasion, L’Express a interrogé Séverine Carré-Pétraud, directrice éditoriale de Prescrire, revue médicale indépendante, spécialisée dans l’analyse de la balance bénéfice-risque des médicaments. Son constat est aussi clair qu’affolant : treize ans après que le scandale Mediator a éclaté, ""de trop nombreux médicaments continuent d’exposer les patients à des risques disproportionnés"". 

L'interview est à retrouver en intégralité ici : https://miniurl.be/r-4ccz

#mediátor #france #médicaments #sante
__________________________________ 

S’abonner à la chaîne : https://bit.ly/2P99bfL 
Télécharger l'application : https://app.adjust.com/ulautn_ww4r6b
Facebook : https://www.facebook.com/LExpress 
Instagram : https://www.instagram.com/lexpressfr/
Linkedin : https://www.linkedin.com/company/lexpress/",2023-01-12T17:00:26Z,PT1M,388,13,0,"[""l'express"", ""l'express vidéo"", 'express vidéo', 'express actualité']"
7,En immersion avec l'armée de terre française - L'Express,WkkqqaIyfXc,En immersion avec l'armée de terre française,UCp2kK3DyhpgFOdILF3BBC9A,L'Express,"Notre journaliste Renaud Toffier est allé en Belgique pour suivre un exercice conjoint entre l’armée de terre française et belge. 

Au printemps prochain, les militaires français présents lors de cet exercice seront sur la base de l’OTAN située en Roumanie, au plus près de la guerre en Ukraine. 

La vidéo complète est à retrouver dimanche sur la chaîne Youtube de L'Express.

#armee #france #belgique 
__________________________________ 

S’abonner à la chaîne : https://bit.ly/2P99bfL 
Télécharger l'application : https://app.adjust.com/ulautn_ww4r6b
Facebook : https://www.facebook.com/LExpress 
Instagram : https://www.instagram.com/lexpressfr/
Linkedin : https://www.linkedin.com/company/lexpress/",2023-01-10T17:00:28Z,PT1M,4976,214,4,"[""l'express"", ""l'express vidéo"", 'express vidéo', 'express actualité']"
8,"PODCAST. Comment les cryptomonnaies sont devenues les ""faux-amis"" des criminels - L'Express",qEhKyt3IWgo,"PODCAST. Comment les cryptomonnaies sont devenues les ""faux-amis"" des criminels",UCp2kK3DyhpgFOdILF3BBC9A,L'Express,"Des transactions anonymes échappant à tout contrôle étatique : avec le bitcoin et les autres monnaies numériques, les criminels pensaient avoir trouvé le ""cash"" intraçable idéal pour cacher leurs activités. Erreur ! La technologie derrière les cryptos permet en fait aux autorités de traquer de plus en plus facilement les malfaiteurs.

Dans cet épisode de La Loupe, Xavier Yvon explique la traque des ""crypto-criminels"" avec Anne Cagan, cheffe de rubrique Tech à L’Express.

Ecoutez cet épisode et abonnez-vous à La Loupe sur Apple Podcasts, Spotify, Deezer, Google Podcasts, Podcast Addict et Amazon Music.

#cryptomonnaies #numérique #tech 

__________________________________ 

S’abonner à la chaîne : https://bit.ly/2P99bfL 
Télécharger l'application : https://app.adjust.com/ulautn_ww4r6b
Facebook : https://www.facebook.com/LExpress 
Instagram : https://www.instagram.com/lexpressfr/
Linkedin : https://www.linkedin.com/company/lexpress/",2023-01-09T17:00:37Z,PT14M28S,94,3,17,"[""l'express"", ""l'express vidéo"", 'express vidéo', 'express actualité']"
9,PODCAST. Que sont les limites planétaires ? - L'Express,w_mmX0EO7qU,PODCAST. Que sont les limites planétaires ?,UCp2kK3DyhpgFOdILF3BBC9A,L'Express,"🌎 Chaque vendredi, l'équipe de La Loupe range dans son armoire la définition d'un concept dont vous entendez souvent parler dans l'actualité... Sans forcément en saisir tous les enjeux.

Dans ce nouvel épisode de La Loupe, Margaux Lannuzel et Valentin Ehkirch, journaliste au service Sciences de L'Express, vous expliquent ce que sont les limites planétaires.

➡ https://bit.ly/3GHTBFk

#podcast  #limitesplanetaires #climat
#______________________________________________ _____ 

S’abonner à la chaîne : https://bit.ly/2P99bfL 
Télécharger l'application : https://app.adjust.com/ulautn_ww4r6b
Facebook : https://www.facebook.com/LExpress 
Instagram : https://www.instagram.com/lexpressfr/
Linkedin : https://www.linkedin.com/company/lexpress/",2023-01-06T17:00:28Z,PT1M,244,11,1,"[""l'express"", ""l'express vidéo"", 'express vidéo', 'express actualité']"
